"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","Latitude","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocatioin"
2018,"US","United States","","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.8,NA,NA,6.7,7,327167434,NA,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease",""
2018,"US","United States","","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5.9,NA,NA,5.8,6.1,327167434,NA,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease",""
2018,"AL","Alabama","Autauga","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.9,NA,NA,7.2,8.6,55601,32.5350198,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.64301145 32.5350198)"
2018,"AL","Alabama","Autauga","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.9,NA,NA,6.2,7.5,55601,32.5350198,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.64301145 32.5350198)"
2018,"AL","Alabama","Baldwin","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.8,NA,NA,7,8.7,218022,30.72811673,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.72275422 30.72811673)"
2018,"AL","Alabama","Baldwin","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6,NA,NA,5.4,6.7,218022,30.72811673,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.72275422 30.72811673)"
2018,"AL","Alabama","Barbour","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",11,NA,NA,10.2,11.8,24881,31.86925212,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.39330307 31.86925212)"
2018,"AL","Alabama","Barbour","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",9,NA,NA,8.4,9.6,24881,31.86925212,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.39330307 31.86925212)"
2018,"AL","Alabama","Bibb","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.6,NA,NA,8,9.4,22400,32.99854412,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.12653219 32.99854412)"
2018,"AL","Alabama","Bibb","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.6,NA,NA,7,8.2,22400,32.99854412,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.12653219 32.99854412)"
2018,"AL","Alabama","Blount","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.2,NA,NA,8.4,10.1,57840,33.98070621,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.56784586 33.98070621)"
2018,"AL","Alabama","Blount","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.5,NA,NA,6.8,8.2,57840,33.98070621,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.56784586 33.98070621)"
2018,"AL","Alabama","Bullock","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.1,NA,NA,9.3,10.8,10138,32.10044482,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.71563262 32.10044482)"
2018,"AL","Alabama","Bullock","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8.8,NA,NA,8.2,9.5,10138,32.10044482,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.71563262 32.10044482)"
2018,"AL","Alabama","Butler","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.4,NA,NA,9.6,11.2,19680,31.75259734,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.68030416 31.75259734)"
2018,"AL","Alabama","Butler","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8,NA,NA,7.4,8.5,19680,31.75259734,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.68030416 31.75259734)"
2018,"AL","Alabama","Calhoun","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.1,NA,NA,8.3,9.9,114277,33.77170768,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.82579874 33.77170768)"
2018,"AL","Alabama","Calhoun","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.6,NA,NA,7,8.3,114277,33.77170768,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.82579874 33.77170768)"
2018,"AL","Alabama","Chambers","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.8,NA,NA,9.1,10.5,33615,32.91401536,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.39238495 32.91401536)"
