"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
2020,"GA","Georgia","Candler","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.9,NA,NA,7.3,8.4,10985,13043,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-82.0712656 32.4039497)"
2020,"GA","Georgia","Fulton","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5.3,NA,NA,4.9,5.7,1077402,13121,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-84.4681816 33.7900338)"
2020,"IA","Iowa","Madison","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.3,NA,NA,5.6,7,16521,19121,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-94.0151842 41.3306216)"
2020,"LA","Louisiana","Webster","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.7,NA,NA,9.9,11.4,37943,22119,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-93.3398245 32.7321522)"
2020,"NY","New York","Tompkins","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",5.4,NA,NA,4.8,5.9,101058,36109,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-76.4734835 42.4530063)"
2020,"OR","Oregon","Linn","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.2,NA,NA,6.5,7.9,131054,41043,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-122.5372084 44.4888982)"
2020,"TN","Tennessee","Carroll","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.1,NA,NA,8.3,9.9,27779,47017,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-88.4523791 35.9657478)"
2020,"TX","Texas","Aransas","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.7,NA,NA,9.8,11.7,23814,48007,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-96.9675012 28.1226209)"
2020,"TX","Texas","Oldham","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7,NA,NA,6.3,7.6,2135,48359,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-102.5976203 35.4019206)"
2020,"WI","Wisconsin","Calumet","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",4.9,NA,NA,4.4,5.4,50209,55015,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-88.2121322 44.0784104)"
