countyLong,countyLat,countyPK,countyOrder,county,chb,schsacRegion,countyFips,chbPK,schsacRegionPK,chbLong,chbLat,chbOrder,schsacRegionLong,schsacRegionLat,schsacRegionOrder
-93.03688812,47.02264404,1,1,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,,,,,,
-93.04833984,46.76481628,1,2,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,,,,,,
-93.04833984,46.76481628,1,3,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.04833984,46.76481628,588,,,
-93.05407715,46.58719635,1,4,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.05407715,46.58719635,587,,,
-93.03688812,46.57574081,1,5,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.03688812,46.57574081,586,,,
-93.03688812,46.42676926,1,6,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.03688812,46.42676926,585,,,
-93.03688812,46.1689415,1,7,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.03688812,46.1689415,584,-93.03688812,46.1689415,229
-93.43222809,46.16320801,1,8,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.43222809,46.16320801,583,-93.43222809,46.16320801,228
-93.43222809,46.26061249,1,9,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.43222809,46.26061249,582,-93.43222809,46.26061249,227
-93.81037903,46.25488281,1,10,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.81037903,46.25488281,581,-93.81037903,46.25488281,226
-93.8161087,46.59292603,1,11,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.8161087,46.59292603,580,-93.8161087,46.59292603,225
-93.78173828,46.58719635,1,12,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.78173828,46.58719635,579,-93.78173828,46.58719635,224
-93.7702713,46.79919434,1,13,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.7702713,46.79919434,578,-93.7702713,46.79919434,223
-93.7702713,47.01691437,1,14,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,,,,,,
-93.03688812,47.02264404,1,15,Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,,,,,,
-93.51817322,45.24647522,2,17,Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.51817322,45.24647522,357,,,
