county,chb,schsacRegion,countyFips,chbPK,schsacRegionPK,countyLong,countyLat,countyOrder,chbLong,chbLat,chbOrder,schsacRegionLong,schsacRegionLat,schsacRegionOrder
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.7702713,46.79919434,13,-93.7702713,46.79919434,578,-93.7702713,46.79919434,223
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.78173828,46.58719635,12,-93.78173828,46.58719635,579,-93.78173828,46.58719635,224
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.8161087,46.59292603,11,-93.8161087,46.59292603,580,-93.8161087,46.59292603,225
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.81037903,46.25488281,10,-93.81037903,46.25488281,581,-93.81037903,46.25488281,226
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.43222809,46.26061249,9,-93.43222809,46.26061249,582,-93.43222809,46.26061249,227
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.43222809,46.16320801,8,-93.43222809,46.16320801,583,-93.43222809,46.16320801,228
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.03688812,46.1689415,7,-93.03688812,46.1689415,584,-93.03688812,46.1689415,229
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.03688812,46.42676926,6,-93.03688812,46.42676926,585,,,
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.03688812,46.57574081,5,-93.03688812,46.57574081,586,,,
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.05407715,46.58719635,4,-93.05407715,46.58719635,587,,,
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.04833984,46.76481628,3,-93.04833984,46.76481628,588,,,
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.03688812,47.02264404,1,,,,,,
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.04833984,46.76481628,2,,,,,,
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.7702713,47.01691437,14,,,,,,
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200,-93.03688812,47.02264404,15,,,,,,
Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.51817322,45.24647522,17,-93.51817322,45.24647522,357,,,
Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.51817322,45.42982483,18,-93.51817322,45.42982483,358,-93.51817322,45.42982483,178
Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.0196991,45.41836548,19,-93.0196991,45.41836548,359,-93.0196991,45.41836548,179
Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.01396942,45.30377579,20,-93.01396942,45.30377579,360,,,
Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.01396942,45.13188553,21,-93.01396942,45.13188553,361,,,
Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.23168945,45.13188553,22,-93.23168945,45.13188553,362,,,
Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.23168945,45.05167007,23,-93.23168945,45.05167007,363,,,
Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.29471588,45.05740356,24,-93.29471588,45.05740356,364,,,
Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.28899384,45.09750748,25,-93.28899384,45.09750748,365,,,
Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.28899384,45.13188553,26,-93.28899384,45.13188553,366,,,
Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.32336426,45.15480423,27,-93.32336426,45.15480423,367,,,
Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.38639069,45.20636749,28,-93.38639069,45.20636749,368,,,
Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.48952484,45.23501968,29,-93.48952484,45.23501968,369,,,
Anoka,(M) Anoka,Metro (M),27003,99100,99100,-93.51817322,45.24647522,30,-93.51817322,45.24647522,370,,,
Becker,(WC) Partnership4health,West Central (WC),27005,99701,99700,-95.14537048,46.80492401,42,-95.14537048,46.80492401,1357,-95.14537048,46.80492401,696
Becker,(WC) Partnership4health,West Central (WC),27005,99701,99700,-95.13964844,46.98254013,41,-95.13964844,46.98254013,1358,-95.13964844,46.98254013,695
Becker,(WC) Partnership4health,West Central (WC),27005,99701,99700,-95.16255951,46.98254013,40,-95.16255951,46.98254013,1359,-95.16255951,46.98254013,694
Becker,(WC) Partnership4health,West Central (WC),27005,99701,99700,-95.16828918,47.1486969,39,-95.16828918,47.1486969,1360,-95.16828918,47.1486969,693
Becker,(WC) Partnership4health,West Central (WC),27005,99701,99700,-95.54644775,47.15442657,38,-95.54644775,47.15442657,1361,-95.54644775,47.15442657,692
Becker,(WC) Partnership4health,West Central (WC),27005,99701,99700,-96.05064392,47.15442657,37,-96.05064392,47.15442657,1362,-96.05064392,47.15442657,691
Becker,(WC) Partnership4health,West Central (WC),27005,99701,99700,-95.14537048,46.71897888,32,,,,,,
Becker,(WC) Partnership4health,West Central (WC),27005,99701,99700,-96.1480484,46.71324921,33,,,,,,
Becker,(WC) Partnership4health,West Central (WC),27005,99701,99700,-96.15377808,46.98254013,34,,,,,,
Becker,(WC) Partnership4health,West Central (WC),27005,99701,99700,-96.17668915,46.98254013,35,,,,,,
Becker,(WC) Partnership4health,West Central (WC),27005,99701,99700,-96.17668915,47.15442657,36,,,,,,
Becker,(WC) Partnership4health,West Central (WC),27005,99701,99700,-95.14537048,46.71897888,43,,,,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.58654785,48.53525543,45,-95.58654785,48.53525543,777,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.32299042,48.53525543,46,-95.32299042,48.53525543,778,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.19693756,48.53525543,47,-95.19693756,48.53525543,779,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.19693756,48.36909866,48,-95.19693756,48.36909866,780,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.39479828,48.3576355,49,-94.39479828,48.3576355,781,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.40052795,48.02532196,50,-94.40052795,48.02532196,782,-94.40052795,48.02532196,381
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.39479828,48.01959229,51,-94.39479828,48.01959229,783,-94.39479828,48.01959229,382
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.39479828,47.84770584,52,-94.39479828,47.84770584,784,-94.39479828,47.84770584,383
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.3890686,47.4237175,53,-94.3890686,47.4237175,785,-94.3890686,47.4237175,384
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.39479828,47.40652847,54,-94.39479828,47.40652847,786,-94.39479828,47.40652847,385
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-94.66408539,47.40652847,55,-94.66408539,47.40652847,787,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.16828918,47.4007988,56,-95.16828918,47.4007988,788,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.16828918,47.67581558,57,-95.16828918,47.67581558,789,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.18547821,47.67581558,58,-95.18547821,47.67581558,790,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.17974854,47.87635422,59,-95.17974854,47.87635422,791,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.23131561,47.87635422,60,-95.23131561,47.87635422,792,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.25423431,47.88781357,61,-95.25423431,47.88781357,793,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.26569366,47.91073227,62,-95.26569366,47.91073227,794,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.26569366,47.93938065,63,-95.26569366,47.93938065,795,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.25423431,47.97375488,64,-95.25423431,47.97375488,796,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.21412659,48.00813293,65,-95.21412659,48.00813293,797,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.20266724,48.02532196,66,-95.20266724,48.02532196,798,,,
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300,-95.56935883,48.02532196,67,-95.56935883,48.02532196,799,,,
