long,lat,group,order,region,subregion,mn_fips
-96.42879486,43.49322891,1,1,minnesota,NA,27000
-96.42879486,43.85419083,1,2,minnesota,NA,27000
-96.42879486,44.20369339,1,3,minnesota,NA,27000
-96.43452454,44.54746628,1,4,minnesota,NA,27000
-96.43452454,44.63914108,1,5,minnesota,NA,27000
-96.43452454,44.8167572,1,6,minnesota,NA,27000
-96.43452454,44.97718811,1,7,minnesota,NA,27000
-96.43452454,45.26366806,1,8,minnesota,NA,27000
-96.43452454,45.29231262,1,9,minnesota,NA,27000
-96.44025421,45.31523132,1,10,minnesota,NA,27000
-96.44025421,45.32669449,1,11,minnesota,NA,27000
-96.45745087,45.35533905,1,12,minnesota,NA,27000
-96.51473999,45.37825775,1,13,minnesota,NA,27000
-96.57776642,45.40690613,1,14,minnesota,NA,27000
-96.68663025,45.44701385,1,15,minnesota,NA,27000
-96.72100067,45.49857712,1,16,minnesota,NA,27000
-96.77830505,45.55587387,1,17,minnesota,NA,27000
-96.81267548,45.58452225,1,18,minnesota,NA,27000
-96.83559418,45.59025192,1,19,minnesota,NA,27000
-96.84132385,45.63035965,1,20,minnesota,NA,27000
-96.83559418,45.64754868,1,21,minnesota,NA,27000
-96.82414246,45.67046738,1,22,minnesota,NA,27000
-96.77830505,45.68765259,1,23,minnesota,NA,27000
-96.6522522,45.76213837,1,24,minnesota,NA,27000
-96.59495544,45.81943512,1,25,minnesota,NA,27000
-96.57203674,45.8480835,1,26,minnesota,NA,27000
-96.56057739,45.87673187,1,27,minnesota,NA,27000
-96.55484772,45.91110611,1,28,minnesota,NA,27000
-96.56057739,45.9397583,1,29,minnesota,NA,27000
-96.56630707,45.97413254,1,30,minnesota,NA,27000
-96.56630707,45.99705124,1,31,minnesota,NA,27000
-96.54911804,46.03142929,1,32,minnesota,NA,27000
-96.54911804,46.05434799,1,33,minnesota,NA,27000
-96.53765869,46.08872604,1,34,minnesota,NA,27000
-96.55484772,46.1231041,1,35,minnesota,NA,27000
-96.57776642,46.15747833,1,36,minnesota,NA,27000
-96.57776642,46.24915314,1,37,minnesota,NA,27000
-96.58922577,46.32363892,1,38,minnesota,NA,27000
-96.62360382,46.35801315,1,39,minnesota,NA,27000
-96.67516327,46.39812469,1,40,minnesota,NA,27000
-96.70954132,46.44968796,1,41,minnesota,NA,27000
-96.72100067,46.48406601,1,42,minnesota,NA,27000
-96.73819733,46.57000732,1,43,minnesota,NA,27000
-96.77830505,46.63303375,1,44,minnesota,NA,27000
-96.78403473,46.6674118,1,45,minnesota,NA,27000
-96.77830505,46.70751953,1,46,minnesota,NA,27000
-96.77257538,46.79919434,1,47,minnesota,NA,27000
