locationFips,location,year,count_birth,rate_fertility,rate_birth,count_crudeDeathDup,rate_deathCrudeTenThousand,rate_naturalIncrease,count_pregnancies,rate_pregnancy,count_abortions,rate_abortion,count_fetalDeaths,rate_fetalDeaths,count_noPreviousBirths,percent_noPreviousBirths,count_fourPlusBirths,percent_fourPlusBirths,count_liveBirthWithInOneYr,percent_liveBirthWithInOneYr,count_birth15To17Yr,count_birth18To19Yr,count_birth15To19Yr,count_pregnancy15To17Yr,count_pregnancy18To19Yr,count_pregnancy15To19Yr,rate_birth15To17Yr,rates_birth18To19Yr,rate_birth15To19Yr,rate_pregnancy15To17Yr,rates_pregnancy18To19Yr,rate_pregnancy15To19Yr,count_birthMotherWhite,count_birthMotherAfricanAmerican,count_birthMotherAmericanIndian,count_birthMotherAsianPacificIslander,count_birthMotherOtherUnknown,count_birthMotherHispanic,count_birthMotherLeHighSchool,count_birthMotherHighSchoolGED,count_birthMotherSomeCollegeNoDegree,count_birthMotherAssociateDegree,count_birthMotherBachelorDegree,count_birthMotherGraduateDegree,count_birthToUnmarriedMothers,count_birthToForeignBornMothers,count_birthWithNoFatherDocumented,count_birthOnMedicaid,count_birthForMothersSmoked,percent_birthToUnmarriedMothers,percent_birthToForeignBornMothers,percent_birthWithNoFatherDocumented,percent_birthOnMedicaid,percent_birthForMothersSmoked,count_firstTrimesterPNC,count_adequacyPNCInadequate,count_adequacyPNCIntermediate,count_adequacyPNCAdequate,count_adequacyPNCIntensive,count_birthOutOfState,percent_firstTrimesterPNC,percent_adequacyPNCInadequate,percent_adequacyPNCIntermediate,percent_adequacyPNCAdequate,percent_adequacyPNCIntensive,percent_birthOutOfState,count_birthVaginal,count_birthVBAC,count_birthTotalCesarean,count_birthFirstTimeCesarean,count_birthRepeatCesarean,percent_birthVaginal,percent_birthVBAC,percent_birthTotalCesarean,percent_birthFirstTimeCesarean,percent_birthRepeatCesarean,count_birthSingleton,count_birthPreterm,percent_birthPreterm,count_birthLowBirthWeight,percent_birthLowBirthWeight,count_birthVeryLowBirthWeight,percent_birthVeryLowBirthWeight,count_crudeDeath,rate_crudeDeathOneHundredThousand,rate_ageAdjustedDeath,count_crudeDeathPrematureLe75Yrs,rate_ageAdjustedDeathPrematureLe75Yrs,count_crudeDeathLe1Yrs,count_crudeDeath1To4Yrs,count_crudeDeath5To9Yrs,count_crudeDeath10To14Yrs,count_crudeDeath15To19Yrs,count_crudeDeath20To34Yrs,count_crudeDeath35To49Yrs,count_crudeDeath50To64Yrs,count_crudeDeath65To79Yrs,count_crudeDeath80PlusYrs,rate_crudeDeathLe1Yrs,rate_crudeDeath1To4Yrs,rate_crudeDeath5To9Yrs,rate_crudeDeath10To14Yrs,rate_crudeDeath15To19Yrs,rate_crudeDeath20To34Yrs,rate_crudeDeath35To49Yrs,rate_crudeDeath50To64Yrs,rate_crudeDeath65To79Yrs,rate_crudeDeath80PlusYrs,count_crudeDeathCancer,count_crudeDeathHeartDisease,count_crudeDeathCOVID19,count_crudeDeathUnintentInjury,count_crudeDeathChonicLowerRespiratoryDisease,count_crudeDeathStroke,count_crudeDeathAlzheimer,count_crudeDeathDiabetes,count_crudeDeathInfluenzaPneumonia,count_crudeDeathSuicide,count_crudeDeathNephritis,count_crudeDeathParkinson,count_crudeDeathChronicLiverDisease,count_crudeDeathHypertension,rate_crudeDeathCancer,rate_crudeDeathHeartDisease,rate_crudeDeathRateCOVID19,rate_crudeDeathUnintentInjury,rate_crudeDeathAlzheimer,rate_crudeDeathChonicLowerRespiratoryDisease,rate_crudeDeathStroke,rate_crudeDeathDiabetes,rate_crudeDeathSuicide,rate_crudeDeathInfluenzaPneumonia,rate_crudeDeathParkinson,rate_crudeDeathChronicLiverDisease,rate_crudeDeathChronicHypertension
27001,Aitkin,2015,99,51.5,6.3,194,12.4,-6.1,106,55.2,6,,,,,,,0.101,,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414,,0.202,,0.263,,,,,,,,,,,,,,,,,,,,0.313,0.121,0.192,,7,0.078,1,0.011,,,194,1235.5,653.5,64,249.1,,,,,,,,,,,,,,,,,,,,,44,35,,10,13,10,3,6,9,1,5,,,,,,,,,,,,,,,,
27001,Aitkin,2016,124,65.1,8,251,12.4,-4.4,135,70.9,11,,,,,,,0.083,,0.013,,,,,,,4,20.8,9.8,4,28.7,12.4,,,,,,,,,,,,,,,,,,0.387,0.03,0.15,,0.22,,,,,,,,,,,,,,,,,,,,0.274,0.161,0.113,,11,0.091,8,0.066,,,251,1610.7,898.9,102,447.8,,,,,,,,,,,,,,,,,,,,,69,49,,19,11,18,0,8,,5,,2,6,,,,,,,,,,,,,,
27001,Aitkin,2017,121,63.7,7.6,229,14.5,-6.8,130,68.4,9,NA,0,NA,43,0.355,14,NA,1,NA,2,6,8,2,7,9,NA,NA,NA,NA,NA,NA,108,1,8,0,0,4,8,20,20,14,18,5,61,1,27,82,41,0.504,NA,0.223,0.678,0.339,98,16,9,62,33,0,0.81,NA,NA,0.512,0.273,NA,92,2,27,16,11,0.76,NA,0.223,NA,NA,119,7,NA,7,NA,1,NA,229,1446.7,738.3,92,355.9,2,0,0,0,1,2,5,39,73,107,NA,NA,NA,NA,NA,NA,NA,1000.8,1827.3,9427.3,56,44,,20,12,7,6,9,2,4,,4,,,353.8,278,,126.4,NA,NA,NA,NA,NA,NA,NA,,
27001,Aitkin,2019,109,57.1,6.9,253,15.9,-9.1,116,60.7,7,NA,0,NA,31,0.284,8,NA,2,NA,2,2,4,2,2,4,NA,NA,NA,NA,NA,NA,101,0,4,1,0,3,9,12,19,22,14,7,43,2,19,60,26,0.394,NA,NA,0.55,0.239,88,12,6,71,19,0,0.807,NA,NA,0.651,NA,NA,77,3,29,,,0.706,NA,0.266,,,107,9,NA,3,NA,0,NA,253,1592.6,756.7,95,339.8,1,0,0,0,0,1,7,29,107,108,NA,NA,NA,NA,NA,NA,NA,763.4,2595.2,8640,55,52,,13,17,13,9,15,6,5,,2,,,346.2,327.3,,NA,NA,NA,NA,NA,NA,NA,NA,,
27001,Aitkin,2018,122,64,7.7,203,12.8,-5.1,130,68.2,7,NA,1,NA,41,0.336,12,NA,4,NA,0,3,3,1,3,4,NA,NA,NA,NA,NA,NA,111,2,7,2,0,0,4,18,23,19,21,5,55,1,22,72,22,0.451,NA,0.18,0.59,0.18,99,17,4,72,28,0,0.811,NA,NA,0.59,0.23,NA,86,3,33,,,0.705,NA,0.27,,,122,5,NA,5,NA,1,NA,203,1276.6,680.4,87,359.4,0,0,1,0,0,4,7,31,65,95,NA,NA,NA,NA,NA,NA,NA,795.5,1627,8370,50,44,,12,17,9,2,9,6,5,,1,,,314.4,276.7,,NA,NA,NA,NA,NA,NA,NA,NA,,
27001,Aitkin,2020,106,55.1,6.7,270,17,-10.3,116,60.3,10,NA,0,NA,38,0.358,9,NA,2,NA,0,5,5,0,6,6,NA,NA,NA,NA,NA,NA,97,0,4,0,1,4,9,29,19,23,19,5,46,4,18,*,21,0.434,NA,NA,*,0.198,97,5,18,55,26,0,0.915,NA,NA,0.519,0.245,NA,71,1,34,,,0.67,NA,0.321,,,104,9,NA,5,NA,1,NA,270,1703.7,797.7,95,318.2,1,0,0,0,0,2,2,36,92,137,NA,NA,NA,NA,NA,NA,NA,948.9,2198.9,11102.1,53,59,29,14,16,10,5,11,,,,,6,5,334.4,372.3,183,NA,NA,NA,NA,NA,,,,NA,NA
27003,Anoka,2017,4213,64,12,2263,6.4,5.5,4858,73.8,619,9.4,26,6.1,1562,0.371,242,0.057,49,0.018,19,80,99,35,119,154,NA,22.6,9.3,4.9,33.6,14.4,3041,533,32,318,30,259,181,405,711,603,1172,478,1283,847,349,1733,312,0.305,0.201,0.083,0.411,0.074,3557,369,443,2171,1167,10,0.844,0.088,0.105,0.515,0.277,NA,3073,57,1083,716,367,0.729,0.014,0.257,0.17,0.087,4067,263,0.065,183,0.045,33,0.008,2263,644,637.6,1072,247.4,19,4,2,0,8,78,101,379,746,926,NA,NA,NA,NA,NA,117.7,143,504.8,1987.4,9218.5,579,375,,145,155,97,92,74,19,48,,33,,,164.8,106.7,,41.3,26.2,44.1,27.6,21.1,13.7,NA,9.4,,
27003,Anoka,2018,4241,63.9,12,2240,6.3,5.7,4856,73.1,580,8.7,35,8.2,1595,0.376,209,0.049,54,0.02,18,62,80,28,90,118,NA,17.6,7.4,3.8,25.5,10.9,3117,504,26,350,12,232,169,424,735,578,1261,482,1239,834,295,1666,259,0.292,0.197,0.07,0.393,0.061,3629,325,464,2180,1221,12,0.856,0.077,0.109,0.514,0.288,NA,3053,73,1115,,,0.72,0.017,0.263,,,4077,300,0.074,182,0.045,34,0.008,2240,633.1,611.3,1036,238.7,18,3,4,2,5,73,116,371,696,952,NA,NA,NA,NA,NA,110.1,164.2,494.1,1854.2,9477.4,576,341,,161,146,98,94,56,29,49,,32,,,162.8,96.4,,45.5,26.6,41.3,27.7,15.8,13.8,8.2,9,,
27003,Anoka,2019,4186,62.3,11.7,2316,6.5,5.2,4839,72,622,9.3,31,7.4,1483,0.354,236,0.056,48,0.018,14,75,89,34,110,144,NA,20.9,8.1,4.6,30.6,13.2,2940,574,21,372,11,268,188,474,726,532,1187,513,1272,869,330,1707,249,0.304,0.208,0.079,0.408,0.059,3584,334,481,2116,1198,11,0.856,0.08,0.115,0.505,0.286,NA,2988,76,1120,,,0.714,0.018,0.268,,,4046,337,0.083,199,0.049,34,0.008,2316,648.9,611.3,1029,233.2,20,3,4,3,14,49,118,370,752,983,478.4,NA,NA,NA,NA,72.9,166.2,495.9,1844,8936.4,551,347,,131,174,110,122,80,18,37,,46,,,154.4,97.2,,36.7,34.2,48.8,30.8,22.4,10.4,NA,12.9,,
27003,Anoka,2020,3995,58.8,11.1,2754,7.7,3.4,4574,67.4,553,8.1,26,6.5,1369,0.343,226,0.057,42,0.016,17,56,73,26,98,124,NA,15.4,6.6,3.5,26.9,11.2,2683,601,24,386,12,289,273,650,802,530,1233,494,1228,894,304,*,205,0.307,0.224,0.076,*,0.051,3402,330,708,1913,1000,5,0.852,0.083,0.177,0.479,0.25,NA,2846,62,1087,,,0.712,0.016,0.272,,,3852,265,0.069,217,0.056,28,0.007,2754,765.2,710.1,1255,283.2,16,7,0,3,17,80,152,420,911,1148,NA,NA,NA,NA,NA,119.3,212,563.3,2148.7,10117.2,580,367,331,160,145,134,101,92,,,,,40,40,161.1,102,92,44.5,28.1,40.3,37.2,25.6,,,,11.1,11.1
