incident,year,location,rate_ageAdjustdedPerOneHundredThousand,note,count,sex
Hospitalizations,2010-2019,Houston,0,Unstable rate due to small population,0,Everyone
Hospitalizations,2010-2019,Cottonwood,1,Unstable rate due to small population,1,Everyone
Hospitalizations,2010-2019,Jackson,1,Unstable rate due to small population,2,Everyone
Hospitalizations,2010-2019,Kanabec,1,Unstable rate due to small population,1,Everyone
Hospitalizations,2010-2019,Lyon,1,Unstable rate due to small population,2,Everyone
Hospitalizations,2010-2019,Martin,1,Unstable rate due to small population,4,Everyone
Hospitalizations,2010-2019,Nicollet,1,Unstable rate due to small population,4,Everyone
Hospitalizations,2010-2019,Roseau,1,Unstable rate due to small population,2,Everyone
Hospitalizations,2010-2019,Dakota,2,,80,Everyone
Hospitalizations,2010-2019,Scott,2,,28,Everyone
Hospitalizations,2010-2019,Wright,2,,28,Everyone
Hospitalizations,2010-2019,Benton,2,Unstable rate due to small population,6,Everyone
Hospitalizations,2010-2019,Carver,2,Unstable rate due to small population,19,Everyone
Hospitalizations,2010-2019,Douglas,2,Unstable rate due to small population,10,Everyone
Hospitalizations,2010-2019,Freeborn,2,Unstable rate due to small population,8,Everyone
Hospitalizations,2010-2019,Goodhue,2,Unstable rate due to small population,15,Everyone
Hospitalizations,2010-2019,Koochiching,2,Unstable rate due to small population,4,Everyone
Hospitalizations,2010-2019,McLeod,2,Unstable rate due to small population,7,Everyone
Hospitalizations,2010-2019,Meeker,2,Unstable rate due to small population,5,Everyone
Hospitalizations,2010-2019,Nobles,2,Unstable rate due to small population,4,Everyone
Hospitalizations,2010-2019,Pope,2,Unstable rate due to small population,4,Everyone
Hospitalizations,2010-2019,Rice,2,Unstable rate due to small population,13,Everyone
Hospitalizations,2010-2019,Sherburne,2,Unstable rate due to small population,19,Everyone
Hospitalizations,2010-2019,Sibley,2,Unstable rate due to small population,5,Everyone
Hospitalizations,2010-2019,Steele,2,Unstable rate due to small population,9,Everyone
Hospitalizations,2010-2019,Watonwan,2,Unstable rate due to small population,3,Everyone
Hospitalizations,2010-2019,Washington,3,,76,Everyone
Hospitalizations,2010-2019,Blue Earth,3,Unstable rate due to small population,17,Everyone
Hospitalizations,2010-2019,Brown,3,Unstable rate due to small population,9,Everyone
Hospitalizations,2010-2019,Faribault,3,Unstable rate due to small population,4,Everyone
Hospitalizations,2010-2019,Kandiyohi,3,Unstable rate due to small population,12,Everyone
Hospitalizations,2010-2019,Le Sueur,3,Unstable rate due to small population,7,Everyone
Hospitalizations,2010-2019,Morrison,3,Unstable rate due to small population,9,Everyone
Hospitalizations,2010-2019,Otter Tail,3,Unstable rate due to small population,19,Everyone
Hospitalizations,2010-2019,Pennington,3,Unstable rate due to small population,5,Everyone
Hospitalizations,2010-2019,Polk,3,Unstable rate due to small population,8,Everyone
Hospitalizations,2010-2019,Wabasha,3,Unstable rate due to small population,8,Everyone
Hospitalizations,2010-2019,Winona,3,Unstable rate due to small population,14,Everyone
Hospitalizations,2010-2019,Anoka,4,,136,Everyone
Hospitalizations,2010-2019,Crow Wing,4,,27,Everyone
Hospitalizations,2010-2019,Olmsted,4,,65,Everyone
Hospitalizations,2010-2019,Stearns,4,,54,Everyone
Hospitalizations,2010-2019,Carlton,4,Unstable rate due to small population,16,Everyone
Hospitalizations,2010-2019,Chippewa,4,Unstable rate due to small population,5,Everyone
Hospitalizations,2010-2019,Chisago,4,Unstable rate due to small population,19,Everyone
Hospitalizations,2010-2019,Fillmore,4,Unstable rate due to small population,9,Everyone
Hospitalizations,2010-2019,Isanti,4,Unstable rate due to small population,17,Everyone
Hospitalizations,2010-2019,Mille Lacs,4,Unstable rate due to small population,12,Everyone
Hospitalizations,2010-2019,Mower,4,Unstable rate due to small population,17,Everyone
Hospitalizations,2010-2019,Renville,4,Unstable rate due to small population,8,Everyone
Hospitalizations,2010-2019,Todd,4,Unstable rate due to small population,9,Everyone
Hospitalizations,2010-2019,Wadena,4,Unstable rate due to small population,5,Everyone
Hospitalizations,2010-2019,Beltrami,5,,23,Everyone
Hospitalizations,2010-2019,Clay,5,,27,Everyone
Hospitalizations,2010-2019,Itasca,5,,25,Everyone
Hospitalizations,2010-2019,Becker,5,Unstable rate due to small population,15,Everyone
Hospitalizations,2010-2019,Dodge,5,Unstable rate due to small population,10,Everyone
Hospitalizations,2010-2019,Hubbard,5,Unstable rate due to small population,10,Everyone
Hospitalizations,2010-2019,Pine,5,Unstable rate due to small population,18,Everyone
Hospitalizations,2010-2019,Redwood,5,Unstable rate due to small population,9,Everyone
Hospitalizations,2010-2019,Hennepin,6,,712,Everyone
Hospitalizations,2010-2019,Ramsey,6,,316,Everyone
Hospitalizations,2010-2019,St. Louis,6,,126,Everyone
Hospitalizations,2010-2019,Aitkin,6,Unstable rate due to small population,13,Everyone
Hospitalizations,2010-2019,Lake,6,Unstable rate due to small population,7,Everyone
Emergency department visits,2015-2019,Sibley,7,Unstable rate due to small population,8,Everyone
Hospitalizations,2010-2019,Waseca,7,Unstable rate due to small population,13,Everyone
Emergency department visits,2015-2019,Benton,8,Unstable rate due to small population,16,Everyone
Emergency department visits,2015-2019,Nobles,8,Unstable rate due to small population,9,Everyone
Hospitalizations,2010-2019,Yellow Medicine,8,Unstable rate due to small population,8,Everyone
Hospitalizations,2010-2019,Cass,9,,30,Everyone
Emergency department visits,2015-2019,Le Sueur,9,Unstable rate due to small population,12,Everyone
Emergency department visits,2015-2019,Carver,10,,44,Everyone
Emergency department visits,2015-2019,Dakota,10,,209,Everyone
Emergency department visits,2015-2019,Scott,10,,68,Everyone
Emergency department visits,2015-2019,Wright,10,,62,Everyone
Emergency department visits,2015-2019,Lyon,11,Unstable rate due to small population,14,Everyone
Emergency department visits,2015-2019,Nicollet,11,Unstable rate due to small population,19,Everyone
Emergency department visits,2015-2019,Stevens,11,Unstable rate due to small population,6,Everyone
Emergency department visits,2015-2019,Watonwan,11,Unstable rate due to small population,9,Everyone
Emergency department visits,2015-2019,Goodhue,12,,28,Everyone
Emergency department visits,2015-2019,Sherburne,12,,55,Everyone
Emergency department visits,2015-2019,Chippewa,12,Unstable rate due to small population,7,Everyone
Emergency department visits,2015-2019,Blue Earth,13,,42,Everyone
Emergency department visits,2015-2019,Anoka,14,,237,Everyone
Emergency department visits,2015-2019,Rice,14,,44,Everyone
Emergency department visits,2015-2019,Washington,14,,171,Everyone
Emergency department visits,2015-2019,Fillmore,14,Unstable rate due to small population,13,Everyone
Emergency department visits,2015-2019,Jackson,14,Unstable rate due to small population,7,Everyone
Emergency department visits,2015-2019,Meeker,14,Unstable rate due to small population,18,Everyone
Emergency department visits,2015-2019,Brown,15,,24,Everyone
Emergency department visits,2015-2019,McLeod,15,,29,Everyone
Emergency department visits,2015-2019,Winona,15,,35,Everyone
Emergency department visits,2015-2019,Cottonwood,15,Unstable rate due to small population,10,Everyone
Emergency department visits,2015-2019,Koochiching,15,Unstable rate due to small population,11,Everyone
Emergency department visits,2015-2019,Pennington,15,Unstable rate due to small population,11,Everyone
Emergency department visits,2015-2019,Todd,15,Unstable rate due to small population,19,Everyone
Emergency department visits,2015-2019,Douglas,16,,27,Everyone
Emergency department visits,2015-2019,Mower,16,,35,Everyone
Emergency department visits,2015-2019,Steele,16,,27,Everyone
Emergency department visits,2015-2019,Martin,16,Unstable rate due to small population,16,Everyone
Emergency department visits,2015-2019,Faribault,17,Unstable rate due to small population,13,Everyone
Emergency department visits,2015-2019,Wabasha,17,Unstable rate due to small population,18,Everyone
Emergency department visits,2015-2019,Waseca,17,Unstable rate due to small population,17,Everyone
Emergency department visits,2015-2019,Olmsted,18,,136,Everyone
Emergency department visits,2015-2019,Pipestone,18,Unstable rate due to small population,8,Everyone
Emergency department visits,2015-2019,Chisago,19,,47,Everyone
Emergency department visits,2015-2019,Stearns,19,,146,Everyone
Emergency department visits,2015-2019,Pope,19,Unstable rate due to small population,12,Everyone
Emergency department visits,2015-2019,Kandiyohi,20,,41,Everyone
Emergency department visits,2015-2019,Otter Tail,20,,54,Everyone
Emergency department visits,2015-2019,Polk,20,,34,Everyone
Emergency department visits,2015-2019,Roseau,20,Unstable rate due to small population,16,Everyone
Emergency department visits,2015-2019,Crow Wing,21,,59,Everyone
Emergency department visits,2015-2019,Freeborn,21,,30,Everyone
Emergency department visits,2015-2019,Redwood,21,Unstable rate due to small population,16,Everyone
Emergency department visits,2015-2019,Wilkin,21,Unstable rate due to small population,6,Everyone
Emergency department visits,2015-2019,Swift,22,Unstable rate due to small population,10,Everyone
Emergency department visits,2015-2019,Clay,23,,73,Everyone
Emergency department visits,2015-2019,Hubbard,23,,25,Everyone
Emergency department visits,2015-2019,Rock,23,Unstable rate due to small population,10,Everyone
Emergency department visits,2015-2019,Carlton,24,,41,Everyone
Emergency department visits,2015-2019,Dodge,24,,22,Everyone
Emergency department visits,2015-2019,Isanti,24,,44,Everyone
