fips,location,year,type,age,sex,count,population,rate,unstable,ci,lci,uci
27000,Minnesota,2005-2009,Breast,00-49 years,Female,3953,8909212,43,FALSE,(41.7 - 44.4),41.7,44.4
27000,Minnesota,2010-2014,Breast,50+ years,Female,16534,4756818,355.4,FALSE,(349.9 - 360.9),349.9,360.9
27000,Minnesota,2005-2009,Breast,50+ years,Female,14630,4196466,352.6,FALSE,(346.8 - 358.4),346.8,358.4
27000,Minnesota,2015-2019,Breast,00-49 years,Female,3868,8811872,47.8,FALSE,(46.3 - 49.4),46.3,49.4
27000,Minnesota,2010-2014,Breast,00-49 years,Female,3830,8781014,45.1,FALSE,(43.7 - 46.6),43.7,46.6
27000,Minnesota,2015-2019,Breast,All Ages,Female,22718,13967134,135.7,FALSE,(133.9 - 137.6),133.9,137.6
27000,Minnesota,2015-2019,Breast,50+ years,Female,18850,5155262,365.9,FALSE,(360.6 - 371.2),360.6,371.2
27000,Minnesota,2005-2009,All cancer types combined,0-14 years,All,820,5269081,15.4,FALSE,(14.4 - 16.5),14.4,16.5
27000,Minnesota,2010-2014,All cancer types combined,0-14 years,All,896,5327310,16.8,FALSE,(15.7 - 17.9),15.7,17.9
27000,Minnesota,2015-2019,All cancer types combined,0-14 years,All,962,5401306,17.8,FALSE,(16.6 - 18.9),16.6,18.9
27000,Minnesota,2005-2009,Brain and other nervous system,0-14 years,All,167,5269081,3.2,FALSE,(2.7 - 3.7),2.7,3.7
27000,Minnesota,2010-2014,Thyroid,All Ages,Male,926,13360340,6.7,FALSE,(6.2 - 7.1),6.2,7.1
27000,Minnesota,2005-2009,Thyroid,All Ages,Female,2137,13105678,16.1,FALSE,(15.4 - 16.8),15.4,16.8
27000,Minnesota,2005-2009,Thyroid,All Ages,Male,746,12912899,5.8,FALSE,(5.4 - 6.2),5.4,6.2
27000,Minnesota,2010-2014,Brain and other nervous system,0-14 years,All,215,5327310,4,FALSE,(3.5 - 4.6),3.5,4.6
27000,Minnesota,2015-2019,Brain and other nervous system,0-14 years,All,212,5401306,3.9,FALSE,(3.4 - 4.5),3.4,4.5
27000,Minnesota,2005-2009,Leukemia,0-14 years,All,258,5269081,4.8,FALSE,(4.3 - 5.5),4.3,5.5
27000,Minnesota,2015-2019,Pancreas,All Ages,Female,2258,13967134,12.5,FALSE,(11.9 - 13.0),11.9,13
27000,Minnesota,2010-2014,Pancreas,All Ages,Female,1644,13537832,10,FALSE,(9.5 - 10.5),9.5,10.5
27000,Minnesota,2005-2009,Pancreas,All Ages,Female,1331,13105678,8.9,FALSE,(8.5 - 9.4),8.5,9.4
27000,Minnesota,2015-2019,Pancreas,All Ages,Male,2395,13849753,15.4,FALSE,(14.7 - 16.0),14.7,16
27000,Minnesota,2010-2014,Pancreas,All Ages,Male,1975,13360340,14.4,FALSE,(13.7 - 15.0),13.7,15
27000,Minnesota,2005-2009,Pancreas,All Ages,Male,1448,12912899,11.8,FALSE,(11.2 - 12.4),11.2,12.4
27000,Minnesota,2010-2014,Leukemia,0-14 years,All,251,5327310,4.7,FALSE,(4.1 - 5.3),4.1,5.3
27000,Minnesota,2015-2019,Leukemia,0-14 years,All,282,5401306,5.2,FALSE,(4.6 - 5.8),4.6,5.8
27000,Minnesota,2005-2009,Acute myeloid leukemia,0-14 years,All,36,5269081,0.7,FALSE,(0.5 - 0.9),0.5,0.9
27000,Minnesota,2015-2019,Oral and pharyngeal,All Ages,Female,1321,13967134,7.5,FALSE,(7.1 - 7.9),7.1,7.9
27000,Minnesota,2010-2014,Oral and pharyngeal,All Ages,Female,1146,13537832,7.1,FALSE,(6.7 - 7.5),6.7,7.5
27000,Minnesota,2010-2014,Acute myeloid leukemia,0-14 years,All,34,5327310,0.6,FALSE,(0.4 - 0.9),0.4,0.9
