fips,county,yearText,count,population,rate,ci,lci,uci,ageAdjust,aci,alci,auci,incident,ageText,sexText,Compared to Minnesota
27173,Yellow Medicine,2018-2020,1-5*,29384,*, ,null,null,*, ,null,null,cohosp,,,Lower than Minnesota
27173,Yellow Medicine,2015-2017,1-5*,29566,*, ,null,null,*, ,null,null,coed,,,Lower than Minnesota
27173,Yellow Medicine,2018-2020,1-5*,29384,*, ,null,null,*, ,null,null,coed,,,Lower than Minnesota
27173,Yellow Medicine,2015-2017,0,29566, , ,null,null,0.0 (UR),(0.0 - 0.0),0,0,cohosp,,,Lower than Minnesota
27171,Wright,2015-2017,53.2,397576, , ,null,null,7,(4.6 - 10.3),4.6,10.3,coed,,,Same as Minnesota
27171,Wright,2018-2020,0,407174, , ,null,null,0.0 (UR),(0.0 - 0.0),0,0,cohosp,,,Lower than Minnesota
27171,Wright,2015-2017,5.1,397576, , ,null,null,0.5 (UR),(0.1 - 1.7),0.1,1.7,cohosp,,,Same as Minnesota
27171,Wright,2018-2020,68.9,407174, , ,null,null,8.8,(6.1 - 12.3),6.1,12.3,coed,,,Same as Minnesota
27169,Winona,2018-2020,0,152294, , ,null,null,0.0 (UR),(0.0 - 0.0),0,0,cohosp,,,Lower than Minnesota
27169,Winona,2015-2017,3.9,152352, , ,null,null,1.5 (UR),(0.1 - 5.8),0.1,5.8,cohosp,,,Same as Minnesota
27169,Winona,2015-2017,14.1,152352, , ,null,null,3.7 (UR),(1.4 - 8.1),1.4,8.1,coed,,,Same as Minnesota
27169,Winona,2018-2020,8.5,152294, , ,null,null,3.0 (UR),(0.8 - 7.9),0.8,7.9,coed,,,Same as Minnesota
27167,Wilkin,2015-2017,0,18999, , ,null,null,0.0 (UR),(0.0 - 0.0),0,0,cohosp,,,Lower than Minnesota
27167,Wilkin,2018-2020,1-5*,18809,*, ,null,null,*, ,null,null,cohosp,,,Lower than Minnesota
27167,Wilkin,2015-2017,1-5*,18999,*, ,null,null,*, ,null,null,coed,,,Lower than Minnesota
27167,Wilkin,2018-2020,6,18809, , ,null,null,16.7 (UR),(3.1 - 51.4),3.1,51.4,coed,,,Same as Minnesota
27165,Watonwan,2018-2020,0,32855, , ,null,null,0.0 (UR),(0.0 - 0.0),0,0,cohosp,,,Lower than Minnesota
27165,Watonwan,2015-2017,0,32900, , ,null,null,0.0 (UR),(0.0 - 0.0),0,0,cohosp,,,Lower than Minnesota
27165,Watonwan,2015-2017,1-5*,32900,*, ,null,null,*, ,null,null,coed,,,Lower than Minnesota
27165,Watonwan,2018-2020,0,32855, , ,null,null,0.0 (UR),(0.0 - 0.0),0,0,coed,,,Lower than Minnesota
27163,Washington,2015-2017,9.3,758841, , ,null,null,0.6 (UR),(0.2 - 1.5),0.2,1.5,cohosp,,,Same as Minnesota
27163,Washington,2018-2020,67.7,774211, , ,null,null,4.4,(3.0 - 6.2),3,6.2,coed,,,Lower than Minnesota
27163,Washington,2015-2017,107.4,758841, , ,null,null,7.3,(5.9 - 8.6),5.9,8.6,coed,,,Same as Minnesota
27163,Washington,2018-2020,4.1,774211, , ,null,null,0.3 (UR),(0.0 - 1.1),0,1.1,cohosp,,,Same as Minnesota
27161,Waseca,2015-2017,7.6,56428, , ,null,null,6.8 (UR),(1.8 - 17.9),1.8,17.9,cohosp,,,Higher than Minnesota
27161,Waseca,2018-2020,1-5*,56089,*, ,null,null,*, ,null,null,cohosp,,,Lower than Minnesota
