indicator,year,fips,location,age,vaccine,percent,population,percentPartiallyVaccinated,percentNonMedicalExemption,percentMedicalExemption,percentDiseaseHistory  
Adolescent immunizations,2018,27000,Minnesota,Adolescent (13 year old),HPV series completion,20.8,88160,null,null,null,null
Adolescent immunizations,2018,27000,Minnesota,Adolescent (13 year old),HPV series initiation,48.3,88160,null,null,null,null
Adolescent immunizations,2018,27000,Minnesota,Adolescent (13 year old),MenACWY,70.8,88160,null,null,null,null
Adolescent immunizations,2018,27000,Minnesota,Adolescent (13 year old),Tdap,72.3,88160,null,null,null,null
Adolescent immunizations,2018,27000,Minnesota,Adolescent (13 year old),Three vaccine series,20.3,88160,null,null,null,null
Adolescent immunizations,2018,27000,Minnesota,Adolescent (19 year old),MenACWY booster,47.3,86793,null,null,null,null
Adolescent immunizations,2018,27000,Minnesota,Adolescent (19 year old),MenB initiation,5.8,86793,null,null,null,null
Adolescent immunizations,2019,27000,Minnesota,Adolescent (13 year old),HPV series completion,24.8,89162,null,null,null,null
Adolescent immunizations,2019,27000,Minnesota,Adolescent (13 year old),HPV series initiation,52,89162,null,null,null,null
Adolescent immunizations,2019,27000,Minnesota,Adolescent (13 year old),MenACWY,71.5,89162,null,null,null,null
Adolescent immunizations,2019,27000,Minnesota,Adolescent (13 year old),Tdap,72.6,89162,null,null,null,null
Adolescent immunizations,2019,27000,Minnesota,Adolescent (13 year old),Three vaccine series,24.2,89162,null,null,null,null
Adolescent immunizations,2019,27000,Minnesota,Adolescent (19 year old),MenACWY booster,50.5,87109,null,null,null,null
Adolescent immunizations,2019,27000,Minnesota,Adolescent (19 year old),MenB initiation,9.1,87109,null,null,null,null
Adolescent immunizations,2020,27000,Minnesota,Adolescent (13 year old),HPV series completion,27.1,91303,null,null,null,null
Adolescent immunizations,2020,27000,Minnesota,Adolescent (13 year old),HPV series initiation,55.1,91303,null,null,null,null
Adolescent immunizations,2020,27000,Minnesota,Adolescent (13 year old),MenACWY,71.8,91303,null,null,null,null
