fips,location,averageAnnualNumberOfPropertiesTested,averageAnnualPropertiesTestedPer10000,unstableTotalPropertiesTested,countProperties2pCiL,pctProperties2pCiL,unstable2pCiL,countProperties4pCiL,pctProperties4pCiL,unstable4pCiL,radon95thPercentile,geometricMeanRadonValue,arithmeticMeanRadonValue,medianRadonValue,yearRange
27000,MINNESOTA,22794,93.5,,162447,71.2,,92271,40.3,,11.7,2.8,4.2,3.1,2010-2020
27001,AITKIN,35,21.1,,220,62.7,,114,32.5,,10,2.1,3.4,2.6,2010-2021
27003,ANOKA,1159,87.7,,5773,47.7,,1957,16.2,,6.6,1.8,2.4,1.8,2010-2022
27005,BECKER,63,32,,483,80.4,,302,50.2,,12.9,3.4,5.4,3.8,2010-2023
27007,BELTRAMI,119,54.9,,885,74.8,,483,40.8,,9.4,2.7,3.8,3.1,2010-2024
27009,BENTON,93,54.2,,593,63.6,,273,29.3,,8.2,2.3,3.1,2.5,2010-2025
27011,BIG STONE,21,67.5,,154,83.7,,114,62,,13.2,3.9,5.7,4.7,2010-2026
27013,BLUE EARTH,256,89.9,,2122,79.8,,1581,59.5,,16.8,3.9,6.1,4.7,2010-2027
27015,BROWN,171,145.8,,1428,88,,1159,71.5,,18.4,5.1,7.3,5.9,2010-2028
27017,CARLTON,101,62.9,,746,72.9,,427,41.7,,14.1,2.9,4.9,3.1,2010-2029
27019,CARVER,662,173,,4679,70.2,,2606,39.1,,10.8,2.7,3.9,3.1,2010-2030
27021,CASS,86,33.4,,557,66.9,,286,34.4,,8.4,2.4,3.3,2.8,2010-2031
27023,CHIPPEWA,35,62.1,,299,88.2,,237,69.9,,19.8,5,6.8,5.6,2010-2032
27025,CHISAGO,157,71.4,,1050,64.3,,496,30.4,,10.2,2.3,3.3,2.5,2010-2033
27027,CLAY,139,52.4,,1135,80.7,,847,60.2,,18.9,4.2,6.7,5.1,2010-2034
27029,CLEARWATER,20,41.6,,148,75.9,,92,47.2,,12.4,2.9,4.2,3.2,2010-2035
27031,COOK,27,44.7,,161,66,,99,40.6,,16.5,2.3,4.7,2.9,2010-2036
27033,COTTONWOOD,49,89.9,,406,87.7,,328,70.8,,21.7,5.1,7.9,6.1,2010-2037
27035,CROW WING,185,44.2,,1121,60.5,,511,27.6,,9,2.2,3.1,2.3,2010-2038
27037,DAKOTA,2007,120.5,,14637,70.3,,7769,37.3,,9.9,2.7,3.7,3,2010-2039
27039,DODGE,100,121.6,,827,84.4,,628,64.1,,21.4,4.6,7.5,5.2,2010-2040
27041,DOUGLAS,160,75.9,,1302,83.7,,958,61.6,,14.1,4,5.7,4.8,2010-2041
27043,FARIBAULT,43,61.1,,362,85.4,,272,64.2,,19.8,4.4,6.5,5,2010-2042
27045,FILLMORE,130,130.5,,994,83,,748,62.4,,23.6,4.5,7.3,5.2,2010-2043
27047,FREEBORN,115,80,,927,88.5,,713,68.1,,20.6,5.1,7.8,5.4,2010-2044
27049,GOODHUE,213,103.2,,1696,80.7,,1153,54.9,,18.3,3.8,5.8,4,2010-2045
27051,GRANT,17,50.4,,131,86.2,,101,66.4,,14.9,4.8,6.5,5.3,2010-2046
27053,HENNEPIN,6323,118.4,,45672,72.6,,23902,38,,8.9,2.7,3.7,3.1,2010-2047
27055,HOUSTON,92,104.6,,678,77.5,,459,52.5,,14,3.5,5.2,3.9,2010-2048
27057,HUBBARD,63,42.6,,451,73.2,,242,39.3,,9.1,2.7,3.7,3.1,2010-2049
27059,ISANTI,94,58.4,,513,52.4,,157,16,,6.5,1.8,2.5,2,2010-2050
27061,ITASCA,110,39.9,,631,62.4,,311,30.8,,11.6,2.2,3.6,2.5,2010-2051
27063,JACKSON,47,91.7,,401,90.5,,327,73.8,,20.6,5.7,8.3,6.8,2010-2052
27065,KANABEC,41,51.9,,306,75.2,,181,44.5,,13.1,3,4.4,3.3,2010-2053
27067,KANDIYOHI,153,77,,1300,87.4,,1023,68.8,,16.7,4.8,6.9,5.5,2010-2054
27069,KITTSON,5,18.5,,29,60.4,,13,27.1,UNSTABLE,17,2.4,4.6,2.2,2010-2055
