county,chb,schsacRegion,countyFips,chbMapPK,schsacRegionMapPK
Aitkin,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27001,99200,99200
Anoka,(M) Anoka,Metro (M),27003,99100,99100
Becker,(WC) Partnership4health,West Central (WC),27005,99701,99700
Beltrami,(NW) Beltrami,Northwest (NW),27007,99300,99300
Benton,(C) Benton,Central (C),27009,99000,99000
Big Stone,(SW) Countryside,Southwest (SW),27011,99600,99600
Blue Earth,(SC) Blue Earth,South Central (SC),27013,99400,99400
Brown,(SC) Brown-Nicollet,South Central (SC),27015,99401,99400
Carlton,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27017,99201,99200
Carver,(M) Carver,Metro (M),27019,99101,99100
Cass,(C) Cass,Central (C),27021,99001,99000
Chippewa,(SW) Countryside,Southwest (SW),27023,99600,99600
Chisago,(C) Chisago,Central (C),27025,99002,99000
Clay,(WC) Partnership4health,West Central (WC),27027,99701,99700
Clearwater,(NW) North Country,Northwest (NW),27029,99301,99300
Cook,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27031,99201,99200
Cottonwood,(SW) Des Moines Valley & Human Services,Southwest (SW),27033,99601,99600
Crow Wing,(C) Crow Wing,Central (C),27035,99003,99000
Dakota,(M) Dakota,Metro (M),27037,99102,99100
Dodge,(SE) Dodge-Steele,Southeast (SE),27039,99500,99500
Douglas,(WC) Horizon Public Health,West Central (WC),27041,99700,99700
Faribault,(SC) Human Services of Faribault & Martin Counties,South Central (SC),27043,99402,99400
Fillmore,(SE) Fillmore-Houston,Southeast (SE),27045,99501,99500
Freeborn,(SE) Freeborn,Southeast (SE),27047,99502,99500
Goodhue,(SE) Goodhue,Southeast (SE),27049,99503,99500
Grant,(WC) Horizon Public Health,West Central (WC),27051,99700,99700
Hennepin,(M) Hennepin,Metro (M),27053,99103,99100
Houston,(SE) Fillmore-Houston,Southeast (SE),27055,99501,99500
Hubbard,(NW) North Country,Northwest (NW),27057,99301,99300
Isanti,(C) Isanti,Central (C),27059,99004,99000
Itasca,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27061,99200,99200
Jackson,(SW) Des Moines Valley & Human Services,Southwest (SW),27063,99601,99600
Kanabec,(C) Kanabec,Central (C),27065,99005,99000
Kandiyohi,(SW) Kandiyohi-Renville,Southwest (SW),27067,99602,99600
