,,,,,,Indicators were combined as well as indicator type,,,,
Source:,,,,,,1/15/2023,,,,
Minnesota Public Health Data Access,,,,,,,,,,
Minnesota Environmental Public Health Tracking Program,,,,,,,,,,
Minnesota Department of Health,,,,,,,,,,
P.O. Box 64882,,,,,,,,,,
"St. Paul, MN 55164-0882",,,,,,,,,,
Phone: (651) 201-5900 or toll free: 1-800-205-4987,,,,,,,,,,
Fax: (651) 201-5926,,,,,,,,,,
E-mail: tracking.health@state.mn.us,,,,,,,,,,
Web: http://health.mn.gov/mndata ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Query Minnesota childhood blood lead levels - MN Public Health Data Access portal - MN Data (state.mn.us),,,,,,,,,,
